,benchmark,name,aig_overwritten,aig_time,entropy_overwritten,entropy_time
92,mcnc,alu3,True,0.1288056890007283,True,0.10147037199931219
93,mcnc,alu4,True,0.8986140419983712,True,17.352390661002573
94,mcnc,amd,True,0.8354488450022473,True,15.26632409100057
95,mcnc,apex4,True,4.566101416014135,True,2.9324354180134833
96,mcnc,apla,True,0.34649721696041524,True,0.42495140800019726
97,mcnc,b10,True,0.8491930899908766,True,33.87949699204182
98,mcnc,b11,True,0.17598036899289582,True,0.04365030099870637
99,mcnc,b12,True,0.11592950600606855,True,3.6767388640000718
100,mcnc,b1,True,0.0209193999908166,True,0.001179419006803073
101,mcnc,b2,True,2.349027684002067,True,93.88144402000762
102,mcnc,b7,True,0.16101368801901117,True,0.04513343100552447
103,mcnc,bc0,True,2.0990187950083055,True,5409.787849426037
104,mcnc,bca,True,4.922124414006248,True,399.35604066203814
105,mcnc,bcb,True,4.384228515991708,True,342.23180037600105
106,mcnc,bcc,True,4.27847594099876,True,335.2056882390025
107,mcnc,bcd,True,2.9553655630006688,True,238.65319108399854
108,mcnc,br1,True,0.2973619139957009,True,1.1873858920007478
109,mcnc,br2,True,0.24786093400325626,True,0.9981022849970032
110,mcnc,bw,True,0.27788008299830835,True,0.019061223007156514
111,mcnc,C17,True,0.012064222974004224,True,0.000852452008984983
112,mcnc,c8,True,0.23484937095781788,True,64724.95704233198
113,mcnc,cc,True,0.08740474900696427,True,157.3459363359725
114,mcnc,clip,True,0.28986963198985904,True,0.12220846296986565
115,mcnc,clpl,True,0.0215755199897103,True,0.02847781899617985
116,mcnc,cm138a,True,0.028765349998138845,True,0.0018885800382122397
117,mcnc,cm150a,True,0.09293608798179775,True,156.33875706797699
118,mcnc,cm151a,True,0.045243172004120424,True,0.14243380600237288
119,mcnc,cm152a,True,0.03164214701973833,True,0.047078716015676036
120,mcnc,cm162a,True,0.05282875502598472,True,0.7642681380093563
121,mcnc,cm163a,True,0.05260208799154498,True,2.875709894025931
122,mcnc,cm42a,True,0.028394552995450795,True,0.001969077013200149
123,mcnc,cm82a,True,0.03216872300254181,True,0.0019078979967162013
124,mcnc,cm85a,True,0.04736944200703874,True,0.08749802998499945
125,mcnc,cmb,True,0.06536734997644089,True,3.7331836740195286
